srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,sload,dload,spkts,dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,sjit,djit,stime,ltime,sintpkt,dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,label
175.45.176.1,0,149.171.126.11,0,sctp,INT,0.000009,440,0,254,0,0,0,-,195555552,0,2,0,0,0,0,0,220,0,0,0,0,0,1424250010,1424250010,0.009,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,2,Exploits,1
175.45.176.1,0,149.171.126.11,0,sctp,INT,0.000009,440,0,254,0,0,0,-,195555552,0,2,0,0,0,0,0,220,0,0,0,0,0,1424250010,1424250010,0.009,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,2,Backdoor,1
175.45.176.1,0,149.171.126.11,0,sctp,INT,0.000009,440,0,254,0,0,0,-,195555552,0,2,0,0,0,0,0,220,0,0,0,0,0,1424250010,1424250010,0.009,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,2,Exploits,1
175.45.176.1,0,149.171.126.11,0,sctp,INT,0.000009,440,0,254,0,0,0,-,195555552,0,2,0,0,0,0,0,220,0,0,0,0,0,1424250010,1424250010,0.009,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,2,Exploits,1
59.166.0.6,49434,149.171.126.6,80,tcp,FIN,1.366053,1684,10168,31,29,3,5,http,9159.234375,56243.79297,14,18,255,255,1302136523,3540341804,120,565,1,3924,9040.628898,7917.853132,1424250009,1424250010,105.054849,80.324,0.000705,0.000541,0.000164,0,0,1,0,0,2,2,1,3,1,1,2,Normal,0
59.166.0.1,32219,149.171.126.0,53,udp,CON,0.001028,146,178,31,29,0,0,dns,568093.375,692607,2,2,0,0,0,0,73,89,0,0,0,0,1424250010,1424250010,0.001,0.004,0,0,0,0,0,0,0,0,2,4,1,5,2,1,1,Normal,0
59.166.0.1,53228,149.171.126.4,53,udp,CON,0.001016,130,162,31,29,0,0,dns,511811,637795.25,2,2,0,0,0,0,65,81,0,0,0,0,1424250010,1424250010,0.009,0.009,0,0,0,0,0,0,0,0,2,5,1,5,2,1,2,Normal,0
59.166.0.3,2803,149.171.126.1,33687,tcp,FIN,0.040832,2750,25564,31,29,7,15,-,526645.75,4894788,44,44,255,255,2380039384,2398297455,63,581,0,0,66.321088,1.908224,1424250010,1424250010,0.942163,0.938209,0.000907,0.000486,0.000421,0,0,0,0,0,4,4,2,2,1,1,1,Normal,0
59.166.0.6,50368,149.171.126.5,27436,tcp,FIN,0.021008,2542,22128,31,29,7,14,-,944021.3125,8226199.5,40,42,255,255,114650090,2264499374,64,527,0,0,33.934681,31.602724,1424250010,1424250010,0.530795,0.49778,0.000746,0.000594,0.000152,0,0,0,0,0,7,8,7,3,1,1,4,Normal,0
59.166.0.0,23677,149.171.126.8,6881,tcp,FIN,9.887264,36762,1641360,31,29,55,583,-,29700.42969,1327021.125,660,1278,255,255,2642499349,513586157,56,1284,0,0,5499.221411,3946.077482,1424250000,1424250010,15.002921,7.742166,0.000645,0.000517,0.000128,0,0,0,0,0,9,7,2,6,2,1,6,Normal,0
59.166.0.0,44972,149.171.126.5,45817,tcp,FIN,0.022846,3984,2560,31,29,7,7,-,1317692.375,851615.125,18,20,255,255,414654029,2563301267,221,128,0,0,144.347199,3.962933,1424250010,1424250010,1.325529,1.173421,0.000688,0.000546,0.000142,0,0,0,0,0,9,8,7,6,1,1,4,Normal,0
59.166.0.5,55280,149.171.126.1,55325,tcp,FIN,0.05809,2646,25564,31,29,7,15,-,355723.875,3440592,42,44,255,255,2142135751,2156847595,63,581,0,0,83.008685,77.738669,1424250010,1424250010,1.439225,1.322047,0.00304,0.001237,0.001803,0,0,0,0,0,2,4,2,2,1,1,2,Normal,0
59.166.0.6,53913,149.171.126.3,52000,tcp,FIN,0.030868,2750,25564,31,29,7,15,-,696643.8125,6474796,44,44,255,255,114653315,127571083,63,581,0,0,50.525783,1.37979,1424250010,1424250010,0.710535,0.722643,0.000641,0.000504,0.000137,0,0,0,0,0,7,3,2,3,1,1,1,Normal,0
59.166.0.0,60479,149.171.126.8,6881,tcp,FIN,10.374004,35516,1551472,31,29,52,551,-,27346.04688,1195440.375,638,1208,255,255,497113828,2659548381,56,1284,0,0,6138.906232,4461.570675,1424250000,1424250010,16.285231,8.594467,0.000595,0.000479,0.000116,0,0,0,0,0,9,7,2,6,2,1,6,Normal,0
59.166.0.5,2992,149.171.126.5,22,tcp,FIN,5.182327,26664,49682,31,29,78,103,ssh,41042.56641,76479.92969,342,356,255,255,3439197834,1289891225,78,140,0,0,1127.680035,1108.189321,1424250005,1424250010,15.196473,14.679391,0.000611,0.000496,0.000115,0,0,0,0,0,1,1,7,2,1,1,1,Normal,0
59.166.0.0,6697,149.171.126.5,111,udp,CON,0.004779,568,320,31,29,0,0,-,713119.9375,401757.7188,4,4,0,0,0,0,142,80,0,0,1.742549,1.489638,1424250010,1424250010,1.237667,1.060333,0,0,0,0,0,0,0,0,9,8,7,6,1,1,4,Normal,0
59.166.0.1,43183,149.171.126.2,32912,tcp,FIN,0.006673,424,8824,31,29,1,4,ftp-data,444777.4688,9697588,8,12,255,255,2204241814,63057888,53,735,0,0,49.163846,24.914146,1424250010,1424250010,0.908857,0.484091,0.001512,0.001345,0.000167,0,0,0,0,0,2,5,3,5,1,1,3,Normal,0
59.166.0.0,49549,149.171.126.3,80,tcp,FIN,1.92579,1684,10168,31,29,3,5,http,6497.074219,39896.35547,14,18,255,255,3507521501,1414139916,120,565,1,3924,11540.6932,10097.48098,1424250009,1424250010,148.110303,113.254647,0.000575,0.000458,0.000117,0,0,1,0,0,1,1,2,6,1,1,1,Normal,0
59.166.0.0,8107,149.171.126.5,2618,udp,CON,0.001685,520,304,31,29,0,0,-,1851632,1082492.625,4,4,0,0,0,0,130,76,0,0,0.614711,0.282846,1424250010,1424250010,0.438667,0.204,0,0,0,0,0,0,0,0,9,8,7,6,1,1,4,Normal,0
59.166.0.1,4482,149.171.126.2,11680,tcp,FIN,0.004005,320,1938,31,29,1,2,ftp-data,533333.3125,3387765.25,6,8,255,255,2204240989,59453931,53,242,0,0,36.808511,0.515619,1424250010,1424250010,0.7376,0.324286,0.001886,0.001732,0.000154,0,0,0,0,0,2,5,3,5,1,1,3,Normal,0
59.166.0.3,1305,149.171.126.5,53716,tcp,FIN,0.022919,2646,22128,31,29,7,14,-,901610.0625,7540294.5,42,42,255,255,2380036293,234923632,63,527,0,0,38.822673,1.007916,1424250010,1424250010,0.564675,0.546146,0.000631,0.000519,0.000112,0,0,0,0,0,4,8,7,2,1,1,1,Normal,0
59.166.0.8,59043,149.171.126.7,1584,tcp,FIN,0.01934,2542,22128,31,29,7,14,-,1025439.563,8935678,40,42,255,255,2022133228,4171965882,64,527,0,0,33.02147,32.96245,1424250010,1424250010,0.499632,0.45822,0.000685,0.000546,0.000139,0,0,0,0,0,3,6,1,1,1,1,1,Normal,0
59.166.0.9,64393,149.171.126.5,80,tcp,FIN,1.178003,1684,10168,31,29,3,5,http,10621.36523,65222.24609,14,18,255,255,3927523623,1808904086,120,565,1,3924,8850.583209,7791.302858,1424250009,1424250010,90.589075,69.266412,0.000596,0.000471,0.000125,0,0,1,0,0,3,3,7,1,1,1,2,Normal,0
59.166.0.1,49594,149.171.126.2,21,tcp,FIN,0.310721,2934,3742,31,29,11,15,ftp,74098.625,94567.14844,52,54,255,255,2204239569,2205191305,56,69,0,0,904.082029,36.18,1424250010,1424250010,6.334388,5.853887,0.000578,0.000462,0.000116,0,0,0,1,1,1,2,3,5,1,1,3,Normal,0
59.166.0.1,6180,149.171.126.2,44685,tcp,FIN,0.179295,8928,320,31,29,4,1,ftp-data,369937.8125,11913.32715,14,6,255,255,2204242698,2217236893,638,53,0,0,1517.153278,69.137219,1424250010,1424250010,13.791923,35.733398,0.000661,0.000511,0.00015,0,0,0,0,0,1,1,1,1,1,1,2,Normal,0
59.166.0.2,26238,149.171.126.5,24338,tcp,FIN,0.030853,2646,25564,31,29,7,15,-,669756.625,6477944,42,44,255,255,2082136174,2094967420,63,581,0,0,47.457324,50.753738,1424250010,1424250010,0.783308,0.724049,0.001307,0.001162,0.000145,0,0,0,0,0,4,1,1,2,1,1,1,Normal,0
59.166.0.8,3622,149.171.126.4,53,udp,CON,0.001037,146,178,31,29,0,0,dns,563163,686595.9375,2,2,0,0,0,0,73,89,0,0,0,0,1424250010,1424250010,0.008,0.008,0,0,0,0,0,0,0,0,6,2,2,5,1,1,6,Normal,0
59.166.0.8,52444,149.171.126.9,80,tcp,FIN,1.308133,1684,10168,31,29,3,5,http,9564.776367,58734.08984,14,18,255,255,3327523490,1228718406,120,565,1,3924,9527.480196,8342.052523,1424250008,1424250010,100.599231,76.916176,0.000694,0.000555,0.000139,0,0,1,0,0,3,2,2,5,2,1,2,Normal,0
59.166.0.0,41657,149.171.126.4,22,tcp,FIN,0.82584,3728,5474,31,29,7,7,ssh,34989.82813,50818.5625,32,24,255,255,3811713713,3811988833,117,228,0,0,1947.621981,60.699512,1424250009,1424250010,26.639999,35.877523,0.000653,0.000533,0.00012,0,0,0,0,0,1,2,2,1,1,1,1,Normal,0
59.166.0.8,14425,149.171.126.8,22,tcp,FIN,0.995771,3728,5578,31,29,7,7,ssh,29018.7207,43094.24609,32,26,255,255,1602134789,1602424374,117,215,0,0,2380.952857,73.641594,1424250009,1424250010,32.121646,39.804,0.000665,0.000547,0.000118,0,0,0,0,0,1,2,1,5,1,1,5,Normal,0
59.166.0.8,9363,149.171.126.9,80,tcp,FIN,1.221026,1684,10168,31,29,3,5,http,10247.12012,62924.13281,14,18,255,255,3631717944,1613868579,120,565,1,3924,8862.325689,7759.570904,1424250009,1424250010,93.898308,71.797588,0.000581,0.000465,0.000116,0,0,1,0,0,3,2,2,5,2,1,2,Normal,0
59.166.0.2,60627,149.171.126.3,62403,tcp,FIN,0.020849,2542,22128,31,29,7,14,-,951220.625,8288934.5,40,42,255,255,2082133156,4231990521,64,527,0,0,33.371395,32.643431,1424250010,1424250010,0.526667,0.494634,0.000707,0.000568,0.000139,0,0,0,0,0,4,6,1,2,1,1,1,Normal,0
59.166.0.5,26037,149.171.126.7,26042,tcp,FIN,0.026826,2542,22128,31,29,7,14,-,739282.8125,6442108.5,40,42,255,255,4287519085,2142430686,64,527,0,0,60.82924,56.921038,1424250010,1424250010,0.697921,0.655525,0.000739,0.000596,0.000143,0,0,0,0,0,5,1,1,1,1,1,1,Normal,0
59.166.0.8,60529,149.171.126.6,58623,tcp,FIN,0.025456,2646,25564,31,29,7,15,-,811753.625,7851351.5,42,44,255,255,4171717230,4179442028,63,581,0,0,39.493525,38.729692,1424250010,1424250010,0.613171,0.59369,0.000646,0.000518,0.000128,0,0,0,0,0,7,9,1,5,1,1,1,Normal,0
175.45.176.1,0,149.171.126.11,0,sctp,INT,0.000009,440,0,254,0,0,0,-,195555552,0,2,0,0,0,0,0,220,0,0,0,0,0,1424250010,1424250010,0.009,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,2,Exploits,1
175.45.176.1,0,149.171.126.11,0,sctp,INT,0.000009,440,0,254,0,0,0,-,195555552,0,2,0,0,0,0,0,220,0,0,0,0,0,1424250010,1424250010,0.009,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,2,DoS,1
175.45.176.1,0,149.171.126.11,0,sctp,INT,0.000009,440,0,254,0,0,0,-,195555552,0,2,0,0,0,0,0,220,0,0,0,0,0,1424250010,1424250010,0.009,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,2,Exploits,1
175.45.176.1,0,149.171.126.11,0,sctp,INT,0.000009,440,0,254,0,0,0,-,195555552,0,2,0,0,0,0,0,220,0,0,0,0,0,1424250010,1424250010,0.009,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,2,Exploits,1
175.45.176.1,0,149.171.126.11,0,sctp,INT,0.000009,440,0,254,0,0,0,-,195555552,0,2,0,0,0,0,0,220,0,0,0,0,0,1424250010,1424250010,0.009,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,2,DoS,1
175.45.176.1,0,149.171.126.11,0,sctp,INT,0.000009,440,0,254,0,0,0,-,195555552,0,2,0,0,0,0,0,220,0,0,0,0,0,1424250010,1424250010,0.009,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,2,Exploits,1
175.45.176.1,0,149.171.126.11,0,sctp,INT,0.000009,440,0,254,0,0,0,-,195555552,0,2,0,0,0,0,0,220,0,0,0,0,0,1424250010,1424250010,0.009,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,2,Exploits,1
