id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label,srcip,dstip,sport,dsport,stime,ltime
11,0.000009,sctp,radius,INT,2,0,440,0,0,254,0,195555552,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,220,0,0,0,1,2,1,1,1,2,0,0,0,1,1,0,Exploits_SOCKS,1,175.45.176.1,149.171.126.11,0,0,1424250010,1424250010
12,0.000009,sctp,-,INT,2,0,440,0,0,254,0,195555552,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,220,0,0,0,1,2,1,1,1,2,0,0,0,1,1,0,Backdoor,1,175.45.176.1,149.171.126.11,0,0,1424250010,1424250010
13,0.000009,sctp,-,INT,2,0,440,0,250000.0006,254,0,195555552,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,220,0,0,0,1,2,1,1,1,2,0,0,0,1,1,0,Exploits_SOCKS,1,175.45.176.1,149.171.126.11,0,0,1424250010,1424250010
14,0.000009,sctp,radius,INT,2,0,440,0,142857.1409,254,0,195555552,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,220,0,0,0,1,2,1,1,1,2,0,0,0,1,1,0,Exploits_SOCKS,1,175.45.176.1,149.171.126.11,0,0,1424250010,1424250010
15,1.366053,tcp,http,FIN,14,18,1684,10168,90909.0902,31,29,9159.234375,56243.79297,3,5,105.054849,80.324,9040.628898,7917.853132,255,1302136523,3540341804,255,0.000705,0.000541,0.000164,120,565,1,3924,2,0,1,1,1,2,0,0,1,3,2,0,Normal_0,0,59.166.0.6,149.171.126.6,49434,80,1424250009,1424250010
16,0.001028,udp,dns,CON,2,2,146,178,250000.0006,31,29,568093.375,692607,0,0,0.001,0.004,0,0,0,0,0,0,0,0,0,73,89,0,0,2,0,1,2,1,1,0,0,0,5,4,0,Normal_0,0,59.166.0.1,149.171.126.0,32219,53,1424250010,1424250010
17,0.001016,udp,dns,CON,2,2,130,162,333333.3215,31,29,511811,637795.25,0,0,0.009,0.009,0,0,0,0,0,0,0,0,0,65,81,0,0,2,0,1,2,1,2,0,0,0,5,5,0,Normal_0,0,59.166.0.1,149.171.126.4,53228,53,1424250010,1424250010
18,0.040832,tcp,-,FIN,44,44,2750,25564,100000.0025,31,29,526645.75,4894788,7,15,0.942163,0.938209,66.321088,1.908224,255,2380039384,2398297455,255,0.000907,0.000486,0.000421,63,581,0,0,4,0,2,1,1,1,0,0,0,2,4,0,Normal_0,0,59.166.0.3,149.171.126.1,2803,33687,1424250010,1424250010
19,0.021008,tcp,-,FIN,40,42,2542,22128,500000.0013,31,29,944021.3125,8226199.5,7,14,0.530795,0.49778,33.934681,31.602724,255,114650090,2264499374,255,0.000746,0.000594,0.000152,64,527,0,0,7,0,7,1,1,4,0,0,0,3,8,0,Normal_0,0,59.166.0.6,149.171.126.5,50368,27436,1424250010,1424250010
20,9.887264,tcp,-,FIN,660,1278,36762,1641360,250000.0006,31,29,29700.42969,1327021.125,55,583,15.002921,7.742166,5499.221411,3946.077482,255,2642499349,513586157,255,0.000645,0.000517,0.000128,56,1284,0,0,9,0,2,2,1,6,0,0,0,6,7,0,Normal_0,0,59.166.0.0,149.171.126.8,23677,6881,1424250000,1424250010
21,0.022846,tcp,radius,FIN,18,20,3984,2560,100000.0025,31,29,1317692.375,851615.125,7,7,1.325529,1.173421,144.347199,3.962933,255,414654029,2563301267,255,0.000688,0.000546,0.000142,221,128,0,0,9,0,7,1,1,4,0,0,0,6,8,0,Normal_0,0,59.166.0.0,149.171.126.5,44972,45817,1424250010,1424250010
22,0.05809,tcp,-,FIN,42,44,2646,25564,111111.1072,31,29,355723.875,3440592,7,15,1.439225,1.322047,83.008685,77.738669,255,2142135751,2156847595,255,0.00304,0.001237,0.001803,63,581,0,0,2,0,2,1,1,2,0,0,0,2,4,0,Normal_0,0,59.166.0.5,149.171.126.1,55280,55325,1424250010,1424250010
23,0.030868,tcp,-,FIN,44,44,2750,25564,100000.0025,31,29,696643.8125,6474796,7,15,0.710535,0.722643,50.525783,1.37979,255,114653315,127571083,255,0.000641,0.000504,0.000137,63,581,0,0,7,0,2,1,1,1,0,0,0,3,3,0,Normal_0,0,59.166.0.6,149.171.126.3,53913,52000,1424250010,1424250010
24,10.374004,tcp,irc,FIN,638,1208,35516,1551472,200000.0051,31,29,27346.04688,1195440.375,52,551,16.285231,8.594467,6138.906232,4461.570675,255,497113828,2659548381,255,0.000595,0.000479,0.000116,56,1284,0,0,9,0,2,2,1,6,0,0,0,6,7,0,Normal_0,0,59.166.0.0,149.171.126.8,60479,6881,1424250000,1424250010
25,5.182327,tcp,ssh,FIN,342,356,26664,49682,333333.3215,31,29,41042.56641,76479.92969,78,103,15.196473,14.679391,1127.680035,1108.189321,255,3439197834,1289891225,255,0.000611,0.000496,0.000115,78,140,0,0,1,0,7,1,1,1,0,0,0,2,1,0,Normal_0,0,59.166.0.5,149.171.126.5,2992,22,1424250005,1424250010
26,0.004779,udp,irc,CON,4,4,568,320,142857.1409,31,29,713119.9375,401757.7188,0,0,1.237667,1.060333,1.742549,1.489638,0,0,0,0,0,0,0,142,80,0,0,9,0,7,1,1,4,0,0,0,6,8,0,Normal_0,0,59.166.0.0,149.171.126.5,6697,111,1424250010,1424250010
27,0.006673,tcp,ftp-data,FIN,8,12,424,8824,166666.6608,31,29,444777.4688,9697588,1,4,0.908857,0.484091,49.163846,24.914146,255,2204241814,63057888,255,0.001512,0.001345,0.000167,53,735,0,0,2,0,3,1,1,3,0,0,0,5,5,0,Normal_0,0,59.166.0.1,149.171.126.2,43183,32912,1424250010,1424250010
28,1.92579,tcp,http,FIN,14,18,1684,10168,500000.0013,31,29,6497.074219,39896.35547,3,5,148.110303,113.254647,11540.6932,10097.48098,255,3507521501,1414139916,255,0.000575,0.000458,0.000117,120,565,1,3924,1,0,2,1,1,1,0,0,1,6,1,0,Normal_0,0,59.166.0.0,149.171.126.3,49549,80,1424250009,1424250010
29,0.001685,udp,-,CON,4,4,520,304,142857.1409,31,29,1851632,1082492.625,0,0,0.438667,0.204,0.614711,0.282846,0,0,0,0,0,0,0,130,76,0,0,9,0,7,1,1,4,0,0,0,6,8,0,Normal_0,0,59.166.0.0,149.171.126.5,8107,2618,1424250010,1424250010
30,0.004005,tcp,ftp-data,FIN,6,8,320,1938,10.459041,31,29,533333.3125,3387765.25,1,2,0.7376,0.324286,36.808511,0.515619,255,2204240989,59453931,255,0.001886,0.001732,0.000154,53,242,0,0,2,0,3,1,1,3,0,0,0,5,5,0,Normal_0,0,59.166.0.1,149.171.126.2,4482,11680,1424250010,1424250010
31,0.022919,tcp,-,FIN,42,42,2646,22128,142857.1409,31,29,901610.0625,7540294.5,7,14,0.564675,0.546146,38.822673,1.007916,255,2380036293,234923632,255,0.000631,0.000519,0.000112,63,527,0,0,4,0,7,1,1,1,0,0,0,2,8,0,Normal_0,0,59.166.0.3,149.171.126.5,1305,53716,1424250010,1424250010
32,0.01934,tcp,-,FIN,40,42,2542,22128,8.834441,31,29,1025439.563,8935678,7,14,0.499632,0.45822,33.02147,32.96245,255,2022133228,4171965882,255,0.000685,0.000546,0.000139,64,527,0,0,3,0,1,1,1,1,0,0,0,1,6,0,Normal_0,0,59.166.0.8,149.171.126.7,59043,1584,1424250010,1424250010
33,1.178003,tcp,http,FIN,14,18,1684,10168,7.570899,31,29,10621.36523,65222.24609,3,5,90.589075,69.266412,8850.583209,7791.302858,255,3927523623,1808904086,255,0.000596,0.000471,0.000125,120,565,1,3924,3,0,7,1,1,2,0,0,1,1,3,0,Normal_0,0,59.166.0.9,149.171.126.5,64393,80,1424250009,1424250010
34,0.310721,tcp,ftp,FIN,52,54,2934,3742,100000.0025,31,29,74098.625,94567.14844,11,15,6.334388,5.853887,904.082029,36.18,255,2204239569,2205191305,255,0.000578,0.000462,0.000116,56,69,0,0,1,0,3,1,1,3,1,1,0,5,2,0,Normal_0,0,59.166.0.1,149.171.126.2,49594,21,1424250010,1424250010
35,0.179295,tcp,ftp-data,FIN,14,6,8928,320,11.60377,31,29,369937.8125,11913.32715,4,1,13.791923,35.733398,1517.153278,69.137219,255,2204242698,2217236893,255,0.000661,0.000511,0.00015,638,53,0,0,1,0,1,1,1,2,0,0,0,1,1,0,Normal_0,0,59.166.0.1,149.171.126.2,6180,44685,1424250010,1424250010
36,0.030853,tcp,-,FIN,42,44,2646,25564,17.278635,31,29,669756.625,6477944,7,15,0.783308,0.724049,47.457324,50.753738,255,2082136174,2094967420,255,0.001307,0.001162,0.000145,63,581,0,0,4,0,1,1,1,1,0,0,0,2,1,0,Normal_0,0,59.166.0.2,149.171.126.5,26238,24338,1424250010,1424250010
37,0.001037,udp,dns,CON,2,2,146,178,21.003049,31,29,563163,686595.9375,0,0,0.008,0.008,0,0,0,0,0,0,0,0,0,73,89,0,0,6,0,2,1,1,6,0,0,0,5,2,0,Normal_0,0,59.166.0.8,149.171.126.4,3622,53,1424250010,1424250010
38,1.308133,tcp,http,FIN,14,18,1684,10168,0.016668,31,29,9564.776367,58734.08984,3,5,100.599231,76.916176,9527.480196,8342.052523,255,3327523490,1228718406,255,0.000694,0.000555,0.000139,120,565,1,3924,3,0,2,2,1,2,0,0,1,5,2,0,Normal_0,0,59.166.0.8,149.171.126.9,52444,80,1424250008,1424250010
39,0.82584,tcp,ssh,FIN,32,24,3728,5474,0.016668,31,29,34989.82813,50818.5625,7,7,26.639999,35.877523,1947.621981,60.699512,255,3811713713,3811988833,255,0.000653,0.000533,0.00012,117,228,0,0,1,0,2,1,1,1,0,0,0,1,2,0,Normal_0,0,59.166.0.0,149.171.126.4,41657,22,1424250009,1424250010
40,0.995771,tcp,ssh,FIN,32,26,3728,5578,0.016668,31,29,29018.7207,43094.24609,7,7,32.121646,39.804,2380.952857,73.641594,255,1602134789,1602424374,255,0.000665,0.000547,0.000118,117,215,0,0,1,0,1,1,1,5,0,0,0,5,2,0,Normal_0,0,59.166.0.8,149.171.126.8,14425,22,1424250009,1424250010
41,1.221026,tcp,http,FIN,14,18,1684,10168,12.375802,31,29,10247.12012,62924.13281,3,5,93.898308,71.797588,8862.325689,7759.570904,255,3631717944,1613868579,255,0.000581,0.000465,0.000116,120,565,1,3924,3,0,2,2,1,2,0,0,1,5,2,0,Normal_0,0,59.166.0.8,149.171.126.9,9363,80,1424250009,1424250010
42,0.020849,tcp,-,FIN,40,42,2542,22128,0.016668,31,29,951220.625,8288934.5,7,14,0.526667,0.494634,33.371395,32.643431,255,2082133156,4231990521,255,0.000707,0.000568,0.000139,64,527,0,0,4,0,1,1,1,1,0,0,0,2,6,0,Normal_0,0,59.166.0.2,149.171.126.3,60627,62403,1424250010,1424250010
43,0.026826,tcp,-,FIN,40,42,2542,22128,19.80734,31,29,739282.8125,6442108.5,7,14,0.697921,0.655525,60.82924,56.921038,255,4287519085,2142430686,255,0.000739,0.000596,0.000143,64,527,0,0,5,0,1,1,1,1,0,0,0,1,1,0,Normal_0,0,59.166.0.5,149.171.126.7,26037,26042,1424250010,1424250010
44,0.025456,tcp,-,FIN,42,44,2646,25564,22.388865,31,29,811753.625,7851351.5,7,15,0.613171,0.59369,39.493525,38.729692,255,4171717230,4179442028,255,0.000646,0.000518,0.000128,63,581,0,0,7,0,1,1,1,1,0,0,0,5,9,0,Normal_0,0,59.166.0.8,149.171.126.6,60529,58623,1424250010,1424250010
45,0.000009,sctp,-,INT,2,0,440,0,13.137192,254,0,195555552,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,220,0,0,0,1,2,1,1,1,2,0,0,0,1,1,0,Exploits_SOCKS,1,175.45.176.1,149.171.126.11,0,0,1424250010,1424250010
46,0.000009,sctp,-,INT,2,0,440,0,16.047441,254,0,195555552,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,220,0,0,0,1,2,1,1,1,2,0,0,0,1,1,0,DoS_VNC,1,175.45.176.1,149.171.126.11,0,0,1424250010,1424250010
47,0.000009,sctp,-,INT,2,0,440,0,24.036613,254,0,195555552,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,220,0,0,0,1,2,1,1,1,2,0,0,0,1,1,0,Exploits_SOCKS,1,175.45.176.1,149.171.126.11,0,0,1424250010,1424250010
48,0.000009,sctp,-,INT,2,0,440,0,14.28221,254,0,195555552,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,220,0,0,0,1,2,1,1,1,2,0,0,0,1,1,0,Exploits_SOCKS,1,175.45.176.1,149.171.126.11,0,0,1424250010,1424250010
49,0.000009,sctp,-,INT,2,0,440,0,15.007924,254,0,195555552,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,220,0,0,0,1,2,1,1,1,2,0,0,0,1,1,0,DoS_VNC,1,175.45.176.1,149.171.126.11,0,0,1424250010,1424250010
50,0.000009,sctp,-,INT,2,0,440,0,19.181301,254,0,195555552,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,220,0,0,0,1,2,1,1,1,2,0,0,0,1,1,0,Exploits_SOCKS,1,175.45.176.1,149.171.126.11,0,0,1424250010,1424250010
51,0.000009,sctp,-,INT,2,0,440,0,22.879176,254,0,195555552,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,220,0,0,0,1,2,1,1,1,2,0,0,0,1,1,0,Exploits_SOCKS,1,175.45.176.1,149.171.126.11,0,0,1424250010,1424250010
